SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
526642,MIRZA INTER ,B ,Q,55.50,55.75,54.55,54.90,55.00,54.65,120,9024,496850.00,
526650,TOURISM FINA,B ,Q,118.05,118.75,117.25,118.45,118.10,117.30,100,7260,857311.00,
526666,BHARTIYA INT,B ,Q,282.00,283.80,270.00,272.05,270.00,274.80,42,5937,1645333.00,
526668,KAMAT HOTELS,B ,Q,50.30,50.90,49.70,50.55,50.50,50.45,61,8550,431257.00,
526683,HOTEL RUGBY ,T ,Q,1.29,1.29,1.29,1.29,1.29,1.23,1,600,774.00,
526687,POLO HOTELS ,XT,Q,5.13,5.13,5.13,5.13,5.13,5.40,12,22600,115938.00,
526703,ECOPLAST LTD,X ,Q,104.00,110.00,100.65,104.55,104.00,103.05,27,2167,232250.00,
526707,ALCHEMIST LT,T ,Q,1.84,1.84,1.84,1.84,1.84,1.89,1,35,64.00,
526711,ADARSH PLANT,XT,Q,3.26,3.26,3.26,3.26,3.26,3.26,2,85,277.00,
526717,GOPALA POLY.,X ,Q,46.90,46.90,43.00,43.30,43.40,44.85,77,11748,521783.00,
526721,NICCO PARKS ,XT,Q,28.60,29.00,27.25,28.00,28.00,28.60,15,1460,40276.00,
526723,NTC INDUST  ,X ,Q,42.00,44.00,38.30,43.80,44.00,42.00,26,2501,100860.00,
526725,SANDESH LTD.,B ,Q,745.20,747.25,745.20,747.25,747.25,748.00,2,3,2237.00,
526727,GARNET CONST,X ,Q,12.50,12.90,12.50,12.90,12.90,13.60,4,51,639.00,
526729,GOLDIAM INT.,B ,Q,76.10,76.95,75.55,75.60,75.80,75.90,10,494,37656.00,
526731,BRIGHT BROS.,X ,Q,71.00,71.40,68.40,70.00,70.00,67.50,6,640,45260.00,
526737,CORPOR COUR ,X ,Q,12.79,12.80,11.61,12.80,12.80,12.80,24,3573,45047.00,
526739,NARMADA GEL ,X ,Q,130.00,130.00,130.00,130.00,130.00,126.85,1,25,3250.00,
526747,P.G.FOILS   ,X ,Q,75.20,78.80,75.20,77.10,77.10,76.00,6,214,16137.00,
526755,VELAN HOTELS,X ,Q,4.65,4.65,4.35,4.35,4.35,4.25,11,481,2171.00,
526775,VALIANT COMM,X ,Q,27.95,27.95,26.00,27.00,27.00,27.20,12,348,9195.00,
526783,DR.AGAR.EYE ,XT,Q,369.00,369.00,361.00,369.00,369.00,369.50,9,210,76360.00,
526797,GREENPLY IND,B ,Q,169.60,169.95,163.50,168.85,167.00,168.40,127,3285,548351.00,
526799,UNION QUALIT,XT,Q,43.40,43.40,43.40,43.40,43.40,44.10,6,1604,69613.00,
526801,PSL LTD     ,B ,Q,1.08,1.08,1.08,1.08,1.08,0.99,1,100,108.00,
526807,SEAMEC LTD  ,B ,Q,468.00,468.00,454.00,461.45,461.95,453.60,73,1300,598189.00,
