SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1377.05,1418.00,1370.60,1403.40,1403.40,1379.05,739,32022,44666271.00,
500003,AEGIS LOGIS ,A ,Q,210.50,212.00,208.00,208.85,208.00,209.70,123,3968,831558.00,
500008,AMAR RAJA BA,A ,Q,688.00,692.80,678.65,681.80,682.50,684.35,1020,47817,32798175.00,
500009,A.SARABHAI  ,X ,Q,15.54,16.00,15.25,15.42,15.50,15.54,113,31276,490097.00,
500010,HDFC        ,A ,Q,2031.90,2047.00,2017.85,2021.15,2021.15,2027.40,2207,37211,75573443.00,
500012,ANDHRA PETRO,X ,Q,55.50,56.10,55.00,55.15,55.25,56.05,149,20337,1126688.00,
500013,ANSAL INFRAS,B ,Q,11.30,11.39,11.10,11.14,11.14,11.20,37,27165,304221.00,
500014,APPLE FINANC,XT,Q,1.78,1.78,1.62,1.62,1.62,1.70,11,2275,3761.00,
500016,ARUNAHTEL   ,XT,Q,7.50,7.50,7.50,7.50,7.50,7.32,2,350,2625.00,
500020,BOM DYEING  ,A ,Q,137.40,137.40,134.50,135.60,135.60,136.15,2138,175760,23831207.00,
500024,ASSAMCO     ,T ,Q,2.15,2.15,2.06,2.09,2.08,2.14,30,31561,65928.00,
500027,ATUL LTD.   ,A ,Q,3520.00,3527.95,3475.00,3508.60,3508.60,3546.25,162,410,1438022.00,
500028,ATV PROJECTS,XT,Q,5.90,6.35,5.84,6.23,5.86,6.05,14,4288,26219.00,
500031,BAJAJ ELECT.,A ,Q,544.00,552.80,539.30,548.60,548.60,548.00,361,6586,3599432.00,
500032,BAJAJHIND   ,B ,Q,9.20,9.28,9.04,9.18,9.18,9.13,111,81193,742097.00,
500033,FORCE MOTR  ,A ,Q,1799.90,1800.00,1765.20,1770.70,1770.70,1796.15,962,11307,20149308.00,
500034,BAJFINANCE  ,A ,Q,3002.75,3053.55,2993.25,3048.80,3048.80,3002.00,2526,51350,155223388.00,
500038,BALRAM.CHINI,A ,Q,137.00,137.50,133.10,133.95,133.95,135.75,1625,157304,21278703.00,
500039,BANCO PROD. ,B ,Q,152.00,153.00,150.55,152.20,152.15,150.85,29,1014,154342.00,
500040,CENTURY TEXT,A ,Q,900.00,912.00,883.00,906.75,912.00,898.80,1227,37883,33976690.00,
500042,BASF INDIA  ,A ,Q,1381.00,1395.00,1373.00,1392.15,1392.15,1397.60,240,1307,1810245.00,
500043,BATA INDIA  ,A ,Q,1385.00,1390.45,1368.50,1383.50,1383.50,1392.10,712,19481,26872075.00,
500048,BEML LTD    ,A ,Q,975.50,979.15,965.45,971.25,971.00,972.30,1176,47439,46120129.00,
500049,BHARAT ELECT,A ,Q,95.60,95.65,93.00,93.50,93.50,95.55,2456,710768,67047203.00,
500052,BHANSALI ENG,B ,Q,74.65,75.25,73.00,73.85,73.85,73.85,1006,104766,7756524.00,
500055,TATASTLBSL  ,B ,Q,35.80,35.95,35.10,35.20,35.20,35.05,320,64675,2287184.00,
500058,BIHAR SPONGE,XT,Q,1.10,1.10,1.10,1.10,1.10,1.05,11,8350,9185.00,
500059,BINANI IND. ,T ,Q,36.20,37.45,35.90,36.10,35.90,36.65,22,2167,78580.00,
500060,BIRLACABLE  ,B ,Q,146.95,146.95,143.45,143.60,144.10,144.75,41,1538,222189.00,
500067,BLUE STAR   ,A ,Q,694.80,694.80,682.15,683.05,682.85,685.00,95,1276,874117.00,
500068,DISA INDIA  ,X ,Q,6000.00,6000.00,5950.00,6000.00,6000.00,6000.00,5,39,233099.00,
500074,BPL LTD.    ,B ,Q,26.55,26.55,25.80,26.30,26.40,26.40,170,23643,615872.00,
500078,OAL         ,X ,Q,226.00,226.00,221.20,223.50,224.90,225.30,43,4605,1030856.00,
500083,CENTURY EXT ,B ,Q,5.95,5.95,5.75,5.75,5.75,5.91,14,2280,13216.00,
500084,CESC LTD.   ,A ,Q,722.75,726.25,711.95,715.10,715.10,724.20,432,10895,7830304.00,
500085,CHAMBAL FERT,A ,Q,168.00,171.50,165.65,168.55,168.55,164.80,781,44384,7495428.00,
500086,EXIDE IND.  ,A ,Q,221.40,223.50,219.40,222.75,222.75,219.80,1037,77724,17230149.00,
500087,CIPLA LTD.  ,A ,Q,546.10,554.40,542.25,544.35,544.35,546.15,2113,125596,68868583.00,
500089,DIC INDIA   ,B ,Q,345.00,345.00,342.00,342.00,342.00,344.85,3,15,5160.00,
500092,CRISIL LTD  ,A ,Q,1498.95,1527.00,1496.35,1525.70,1520.00,1485.85,225,1582,2397953.00,
500093,CGPOWER     ,A ,Q,38.50,40.15,37.45,39.80,39.80,38.50,2743,1609235,61919597.00,
500096,DABUR (I)   ,A ,Q,404.95,406.10,399.75,403.55,403.55,403.00,976,57178,23064448.00,
500097,DALMIASUG   ,B ,Q,114.95,117.85,114.45,116.45,116.45,115.70,206,10880,1257870.00,
500101,ARVIND Ltd  ,A ,Q,88.40,88.60,86.55,87.90,87.75,88.05,855,169357,14813483.00,
500102,BALARPUR IND,B ,Q,2.97,2.97,2.84,2.84,2.84,2.98,416,1733451,4942684.00,
500103,BHEL        ,A ,Q,72.05,74.75,71.30,74.30,74.30,72.05,3289,2507400,183687781.00,
500104,HIND.PETRO  ,A ,Q,256.90,261.50,255.55,260.00,260.00,255.75,2116,255516,66380792.00,
500106,IFCI LTD    ,A ,Q,12.80,12.90,12.60,12.66,12.65,12.84,2351,308004,3910518.00,
500108,MAHA.TELE   ,B ,Q,11.88,12.49,11.71,12.29,12.29,11.80,1036,487051,5905877.00,
500109,MRPL        ,A ,Q,70.70,71.15,70.10,70.40,70.35,70.35,1535,69301,4882093.00,
500110,CHENNAI PET.,A ,Q,252.75,258.00,252.40,256.20,256.20,253.90,190,11871,3033034.00,
500111,REL.CAP.    ,A ,Q,187.90,188.15,181.65,184.45,184.45,186.70,5552,752967,138743043.00,
500112,STATE BANK  ,A ,Q,311.20,315.00,308.95,314.70,314.70,311.20,5717,815753,254987600.00,
500113,STEEL AUTH. ,A ,Q,58.05,58.30,56.45,56.65,56.65,58.00,2723,1935574,110434300.00,
500114,TITAN       ,A ,Q,1102.00,1108.00,1090.95,1105.65,1107.00,1099.95,1688,38544,42447310.00,
500116,IDBI BANK L ,A ,Q,44.10,44.40,43.35,43.80,43.80,43.90,1301,984256,43114221.00,
500117,DCW LTD.    ,B ,Q,19.10,19.40,18.75,18.95,18.95,18.80,127,34648,663620.00,
500119,DHAMPUR SUGA,B ,Q,220.20,226.00,220.20,221.80,221.80,224.65,478,29996,6676687.00,
500120,DIAMINES&CHM,X ,Q,121.20,123.60,116.55,118.05,118.00,118.85,90,8881,1059011.00,
500123,ELANTAS     ,B ,Q,2319.00,2329.95,2300.05,2314.05,2328.00,2300.05,10,78,180897.00,
500124,DR.REDDY'S  ,A ,Q,2766.05,2815.00,2758.80,2810.20,2810.20,2763.65,2057,30615,85605184.00,
500125,E.I.D.PAR   ,A ,Q,205.20,205.25,202.10,202.80,202.80,205.70,131,4569,931013.00,
500126,MERCK LTD   ,A ,Q,3882.45,3969.95,3864.20,3886.25,3898.95,3863.70,420,2318,9028630.00,
500128,ELEC.CASTING,B ,Q,21.20,21.25,20.90,20.90,20.95,21.00,26,3746,79064.00,
500132,EMPEE SUGARS,XT,Q,1.25,1.28,1.25,1.28,1.28,1.22,7,1774,2229.00,
500133,ESAB INDIA  ,B ,Q,914.00,914.00,890.00,890.00,890.00,882.05,3,31,28190.00,
500135,ESSEL PROP  ,B ,Q,117.80,124.45,116.85,122.30,122.30,116.65,233,12592,1528839.00,
500136,ESTER INDUS.,B ,Q,35.00,35.20,35.00,35.10,35.05,35.15,22,1872,65726.00,
500141,FERRO ALLOYS,X ,Q,4.30,4.39,4.18,4.39,4.39,4.38,93,40905,176570.00,
500144,FINOL. CABLE,A ,Q,487.45,488.55,476.10,482.80,480.90,480.25,726,12286,5930373.00,
500147,CMI FPE     ,X ,Q,1286.05,1300.00,1281.00,1290.05,1290.05,1290.75,8,65,83615.00,
500148,UFLEX LTD   ,A ,Q,246.00,246.00,239.50,240.40,240.40,245.70,198,5633,1366133.00,
500151,GOLDEN TOB  ,B ,Q,42.85,42.85,42.85,42.85,42.85,44.95,1,10,428.00,
500153,GANESH BENZO,X ,Q,48.25,49.40,48.25,49.00,49.00,48.65,79,6283,306289.00,
500155,GARDEN SILK ,B ,Q,20.00,20.40,19.55,20.15,20.40,19.70,13,300,6005.00,
500159,METROGLOBL  ,X ,Q,53.15,54.25,50.65,52.55,53.50,54.55,15,5251,278362.00,
500160,GTL LTD.    ,B ,Q,4.70,4.91,4.70,4.75,4.75,4.75,9,604,2909.00,
500163,GODFREY PH  ,A ,Q,1150.25,1167.10,1135.00,1140.85,1140.85,1158.70,722,18400,21135567.00,
500164,GODREJ IND  ,A ,Q,529.00,533.30,526.30,529.45,527.25,527.50,297,10771,5705624.00,
500165,KANSAI NERO ,A ,Q,446.10,460.00,445.00,456.35,456.35,455.20,454,10220,4650635.00,
500166,GOODRICKE   ,X ,Q,213.10,215.00,209.00,210.30,210.30,212.05,81,7427,1567402.00,
500168,GOODYEAR (I),B ,Q,960.00,960.00,945.00,946.60,948.80,959.90,62,450,428490.00,
500171,GHCL LTD    ,A ,Q,239.10,240.45,235.55,238.55,236.75,238.85,328,9778,2326054.00,
500173,GUJ.FLOURO  ,A ,Q,1079.30,1079.30,1046.20,1055.60,1046.20,1068.85,151,1196,1269329.00,
500179,HCL INFOSYS ,B ,Q,17.70,18.00,17.15,17.25,17.25,17.55,742,67523,1178445.00,
500180,HDFC BANK   ,A ,Q,2249.00,2262.50,2237.00,2256.80,2253.20,2242.70,2375,51679,116374095.00,
500182,HEROMOTOCO  ,A ,Q,2599.70,2614.20,2593.00,2602.90,2602.90,2599.40,1510,27441,71471471.00,
500183,HIMACHAL FUT,A ,Q,22.80,23.30,22.70,23.15,23.15,22.70,1461,580366,13346995.00,
500184,HSCL        ,A ,Q,119.45,119.95,115.50,116.50,115.50,118.15,580,35913,4223132.00,
500185,HIND.CONSTN.,A ,Q,14.20,14.65,14.05,14.50,14.50,14.20,464,284398,4073306.00,
500186,HIND.OIL EXP,B ,Q,127.50,128.40,124.60,125.10,125.10,127.85,236,21180,2662394.00,
500187,HSIL        ,B ,Q,273.00,274.15,268.30,269.35,269.35,272.15,376,10352,2799943.00,
500188,HINDUS.ZI   ,A ,Q,281.80,282.75,280.00,281.45,281.40,282.30,376,16558,4657920.00,
500189,HINDUJA VENT,B ,Q,393.00,393.00,382.00,388.20,388.20,392.55,47,659,255412.00,
500191,HMT LTD.    ,Z ,Q,18.65,19.15,18.65,19.15,19.15,18.65,3,180,3422.00,
500192,PRAG BOSIMI ,XT,Q,2.85,3.00,2.85,3.00,3.00,2.91,4,1605,4725.00,
500193,HOTEL LEELA.,B ,Q,10.90,10.90,10.25,10.63,10.61,10.89,116,58503,619905.00,
500199,I.G.PETRO   ,B ,Q,307.00,307.00,305.25,305.75,305.75,307.00,10,168,51391.00,
500201,IND.GLYCOLS ,B ,Q,276.00,277.70,273.25,274.40,274.40,275.40,155,4803,1319207.00,
500207,INDO RAMA   ,B ,Q,36.40,36.40,35.20,35.45,35.45,35.45,18,17565,619011.00,
500209,INFOSYS LTD ,A ,Q,753.00,753.00,740.05,743.15,743.15,754.15,5871,375859,279513962.00,
500210,INGERSOLL   ,B ,Q,605.95,611.85,605.00,605.90,605.00,610.45,82,955,579754.00,
500211,INSILCO LTD.,X ,Q,18.85,18.85,17.75,18.00,18.00,18.15,46,14201,254392.00,
500213,INTER.TRAVEL,X ,Q,139.00,139.00,138.00,138.10,138.10,138.85,7,147,20373.00,
500214,ION EXCHANGE,XT,Q,393.10,398.00,391.00,391.95,391.00,394.70,118,4454,1754733.00,
500215,AGRO TECH FO,B ,Q,591.90,591.90,572.00,577.40,572.50,576.45,16,111,64448.00,
500219,JAIN IRRIG  ,A ,Q,56.95,57.30,55.15,55.95,55.90,56.70,1178,396376,22166914.00,
500220,JASCH INDUST,X ,Q,54.20,54.20,53.00,53.25,53.80,53.55,12,5821,310139.00,
500223,JCT LTD     ,X ,Q,1.66,1.70,1.65,1.69,1.69,1.69,63,160495,270703.00,
500227,JINDAL POLYF,B ,Q,253.00,257.00,248.60,253.50,253.50,253.65,131,4169,1051912.00,
500228,JSWSL       ,A ,Q,288.40,289.65,285.25,287.30,287.30,288.50,1052,135115,38790251.00,
500231,UMANG DAIR  ,B ,Q,59.00,59.00,54.75,55.00,54.80,55.50,10,482,26496.00,
500233,KAJARIA CER.,A ,Q,605.00,615.00,600.00,605.95,605.95,604.65,562,22747,13820008.00,
500234,KAKATIYA CEM,B ,Q,178.05,178.05,173.05,174.20,174.20,175.95,28,869,152233.00,
500235,KALYANI STEL,B ,Q,212.25,216.15,211.30,212.30,212.30,213.40,519,16250,3465016.00,
500238,WHIRLPOOL   ,A ,Q,1448.60,1448.85,1430.00,1434.50,1435.00,1451.45,102,1846,2660499.00,
500239,KG DENIM    ,X ,Q,48.95,49.00,47.10,48.65,48.95,48.95,36,5103,247626.00,
500240,KINETIC ENG.,X ,Q,37.20,37.20,36.05,36.05,36.05,36.75,6,961,35284.00,
500241,KIRL.BROS.  ,B ,Q,176.95,176.95,171.00,172.95,172.55,176.50,36,642,110755.00,
500245,KIRL.FERROUS,B ,Q,94.10,95.45,94.10,95.00,95.10,95.00,94,28589,2716542.00,
500247,KOTAK MAH.BK,A ,Q,1350.00,1350.00,1334.00,1342.35,1342.35,1350.35,2033,305846,410657318.00,
500249,KSB         ,B ,Q,709.90,709.90,685.00,687.15,687.15,696.85,17,77,53017.00,
500250,L.G.BALKRISH,B ,Q,382.00,388.65,380.00,381.30,380.00,383.45,32,323,124257.00,
500251,TRENT LTD.  ,A ,Q,348.80,357.00,348.75,353.35,353.35,345.25,182,17721,6202399.00,
500252,LAXMIMACH   ,A ,Q,6140.00,6140.00,6051.00,6100.45,6118.95,6075.50,74,320,1952740.00,
500253,LIC HOUS.FIN,A ,Q,530.00,536.80,521.40,532.65,532.65,529.75,1594,80021,42273648.00,
500254,UTTAMVALUE  ,B ,Q,0.19,0.19,0.19,0.19,0.19,0.19,21,3490,663.00,
500257,LUPIN LTD.  ,A ,Q,805.05,812.00,803.25,808.85,810.00,803.95,1340,59878,48367000.00,
500259,LYKA LABS   ,T ,Q,31.90,31.90,30.40,30.45,30.40,31.95,24,2295,70568.00,
500260,RAMCOCEM    ,A ,Q,759.85,759.85,745.60,756.05,757.50,758.00,502,10885,8178402.00,
500264,MAFATLAL IND,X ,Q,105.05,110.95,102.00,103.20,103.40,107.15,52,4305,449180.00,
500265,MAH.SEAMLESS,B ,Q,476.90,480.00,473.15,477.80,477.80,473.45,46,1009,481828.00,
500266,MAH.SCOOTER ,B ,Q,3586.05,3680.00,3581.55,3671.25,3652.35,3630.70,53,145,527642.00,
500267,MAJESTIC AUT,X ,Q,156.80,158.80,154.00,156.30,158.65,153.00,103,5221,818958.00,
500268,MANALI PETRO,B ,Q,26.00,26.35,25.20,25.90,25.95,25.90,149,32012,833676.00,
500271,MFSL        ,A ,Q,413.15,439.15,413.15,436.45,436.20,416.05,1728,115129,49046818.00,
500279,MIRC ELECT  ,B ,Q,21.60,21.60,20.75,21.20,21.20,21.45,104,20474,434156.00,
500280,CENTURY ENKA,B ,Q,240.00,240.60,238.70,239.50,238.85,239.60,69,4080,978379.00,
500284,LORDS CHLORO,XT,Q,58.05,58.05,58.05,58.05,58.05,58.05,3,67,3889.00,
500285,SPICEJET LTD,A ,Q,94.00,103.85,93.75,101.25,101.25,94.45,30702,7129843,717390273.00,
500288,MOREPEN LAB.,B ,Q,17.85,18.20,17.60,17.90,18.00,17.60,204,105563,1886660.00,
500290,MRF LTD.    ,A ,Q,57899.95,58070.75,57305.00,57455.65,57500.00,57668.85,163,348,20014115.00,
500292,HEIDEL CEM  ,A ,Q,177.75,179.00,176.15,178.30,178.30,178.00,250,11710,2079431.00,
500294,NCC         ,A ,Q,103.00,105.70,102.00,105.10,105.10,102.80,1872,501918,52308029.00,
500295,VEDL        ,A ,Q,188.25,188.25,179.60,181.30,181.30,188.30,8104,1210683,220069474.00,
500296,NAHAR SPG.  ,B ,Q,92.80,93.00,91.85,92.70,92.70,93.00,36,1260,116404.00,
500298,NAT.PEROXIDE,B ,Q,2880.05,2906.95,2842.05,2880.75,2880.75,2887.10,559,2739,7858082.00,
500300,GRASIM IND. ,A ,Q,848.10,852.00,845.25,848.70,850.00,845.35,1518,22443,19058025.00,
500302,PEL         ,A ,Q,2683.00,2692.30,2648.00,2668.00,2670.00,2680.75,914,13715,36557998.00,
500304,NIIT LTD.   ,B ,Q,111.85,114.55,111.50,112.05,112.05,111.70,1920,192494,21651082.00,
500306,JAYKAY      ,X ,Q,5.71,5.73,5.71,5.73,5.73,5.75,4,752,4300.00,
500307,NIRLON      ,B ,Q,200.75,207.00,200.00,205.70,206.20,202.00,44,17933,3629487.00,
500312,ONGC CORPN  ,A ,Q,158.20,159.20,156.00,158.55,158.55,157.70,1207,202925,31981448.00,
500313,OIL COUNTRY ,B ,Q,14.48,14.72,14.30,14.38,14.37,14.78,40,4426,63975.00,
500314,ORIENT HOTEL,B ,Q,48.00,48.00,44.20,44.35,44.25,45.65,47,5919,264393.00,
500315,ORINTAL BANK,A ,Q,111.75,111.80,108.90,109.80,110.35,110.90,1017,317912,34986551.00,
500317,OSWAL AGRO. ,B ,Q,9.00,9.00,8.00,8.17,8.17,8.25,15,1982,16223.00,
500319,INDIAN SUCRO,X ,Q,16.85,16.95,16.85,16.90,16.90,17.60,3,579,9782.00,
500325,RELIANCE    ,A ,Q,1332.80,1351.70,1328.70,1346.15,1346.15,1328.95,8026,571692,764461258.00,
500327,PILITA      ,B ,Q,8.27,8.28,7.52,7.63,7.56,7.90,53,16895,132812.00,
500329,PENTAMED.G  ,XT,Q,0.44,0.45,0.41,0.45,0.45,0.43,25,18829,7996.00,
500330,RAYMOND     ,A ,Q,783.95,783.95,770.30,778.40,780.80,778.40,967,44132,34205481.00,
500331,PIDILITE    ,A ,Q,1289.85,1295.10,1274.05,1278.70,1278.70,1281.80,812,21084,27068375.00,
500333,PIX TRANS   ,X ,Q,179.90,179.90,173.00,178.00,178.00,178.10,71,10718,1882055.00,
500335,BIRLA CORPN.,A ,Q,507.00,513.25,496.55,509.15,509.10,502.20,205,3497,1774007.00,
500336,SURYA ROSHNI,B ,Q,235.95,246.35,234.00,243.20,244.00,233.60,226,11026,2630714.00,
500337,PRIME SECUR.,B ,Q,39.70,40.45,39.60,40.00,40.00,40.50,9,1060,42283.00,
500338,PRSMJOHNSN  ,A ,Q,93.40,94.75,92.00,93.90,93.90,93.35,164,9048,844979.00,
500339,RAIN        ,A ,Q,107.70,111.50,107.00,109.50,109.50,106.60,3069,224775,24541326.00,
500343,AMJLAND     ,B ,Q,19.20,19.20,19.20,19.20,19.20,19.10,2,530,10176.00,
500346,PUN.COMMUNI.,B ,Q,18.00,18.75,18.00,18.10,18.10,18.00,9,180,3275.00,
500350,RSWM  LTD   ,B ,Q,185.30,185.30,180.60,181.00,181.15,180.00,16,434,78911.00,
500354,RAJSH.SUGAR ,B ,Q,23.05,23.05,23.05,23.05,23.05,23.80,2,100,2305.00,
500355,RALLIS INDIA,A ,Q,160.20,160.25,158.70,159.30,159.65,160.00,126,2977,474373.00,
500356,RAMANEWS    ,B ,Q,23.85,23.85,22.00,22.10,22.10,22.50,17,4347,97126.00,
500357,RAMA PAPER  ,X ,Q,15.52,15.52,15.52,15.52,15.52,16.12,1,150,2328.00,
500358,RAMA PETRO  ,X ,Q,8.49,8.49,8.49,8.49,8.49,8.88,1,200,1698.00,
500360,RAPICUT CARB,X ,Q,49.75,49.75,49.75,49.75,49.75,48.30,2,15,746.00,
500365,RMGALLOY    ,X ,Q,17.00,17.00,16.31,16.66,16.45,16.65,216,205190,3446217.00,
500366,ROLTA (I)   ,T ,Q,6.73,6.79,6.45,6.64,6.64,6.63,118,69735,464196.00,
500367,RUBFILA INT.,X ,Q,42.20,44.00,42.20,43.00,43.00,43.00,62,14691,634119.00,
500368,RUCHI SOYA  ,B ,Q,6.70,6.99,6.55,6.98,6.98,6.36,1187,1290186,8878004.00,
500370,SALORA INT. ,B ,Q,15.00,15.00,15.00,15.00,15.00,15.75,1,201,3015.00,
500378,JINDAL SAW  ,A ,Q,83.20,83.65,81.75,82.00,82.15,82.80,342,55110,4557609.00,
500380,JK LAKSHMI  ,A ,Q,354.55,364.00,354.55,359.25,360.00,354.85,142,1812,649927.00,
500387,SHREE CEMENT,A ,Q,18961.30,19000.00,18852.70,18904.55,18904.55,18961.30,74,148,2800712.00,
500390,REL INFRA   ,A ,Q,131.70,132.20,127.65,128.95,128.95,131.15,4819,634106,81722442.00,
500394,SOLID CARBID,XT,Q,0.19,0.19,0.19,0.19,0.19,0.19,1,1000,190.00,
500399,STEELCO GUJ.,XT,Q,4.39,4.39,4.39,4.39,4.39,4.31,11,7090,31125.00,
500400,TATA POWER  ,A ,Q,71.05,73.15,70.65,72.45,73.05,71.00,2470,1648960,119279643.00,
500403,SUNDARAM FAS,A ,Q,561.50,571.00,560.05,562.45,565.00,572.20,153,3430,1935747.00,
500404,SUNFLAG IRON,B ,Q,46.05,46.30,45.65,46.00,45.85,45.90,44,7740,354843.00,
500405,SUPREME PET ,B ,Q,218.75,218.75,217.60,217.60,217.60,218.15,3,50,10908.00,
500407,SWARAJ ENGIN,B ,Q,1386.05,1390.05,1386.00,1389.85,1386.00,1392.85,6,35,48602.00,
500408,TATA ELXSI  ,A ,Q,965.00,965.90,956.00,958.30,956.55,967.05,724,20552,19731945.00,
500410,ACC LTD     ,A ,Q,1639.60,1680.00,1636.45,1673.75,1673.75,1633.75,1648,21701,36026630.00,
500411,THERMAX     ,A ,Q,981.90,986.40,975.00,985.15,985.15,979.50,162,4265,4181649.00,
500412,THIRUMALAI  ,B ,Q,95.90,95.90,93.50,94.15,94.15,95.20,857,68644,6491982.00,
500413,THOMAS COOK ,A ,Q,250.00,250.55,247.70,249.95,249.50,249.95,286,7140,1777728.00,
500414,TIMEX GROUP ,X ,Q,51.15,51.45,50.50,51.05,51.35,50.60,30,6676,338645.00,
500418,TOKYO PLAST ,B ,Q,50.20,53.70,49.45,50.50,50.45,51.05,25,714,36549.00,
500420,TORRENT PHAR,A ,Q,1862.90,1862.90,1816.70,1834.30,1834.30,1859.25,571,8070,14780996.00,
500422,TRANSCHEM   ,X ,Q,22.00,22.50,21.55,22.25,22.25,23.00,9,913,19834.00,
500425,AMBUJA CEME ,A ,Q,224.20,228.05,222.75,226.65,226.65,223.85,1141,89981,20306032.00,
500426,UTLINDS     ,X ,Q,16.35,16.45,15.72,15.73,16.00,15.85,59,24055,388754.00,
500429,UNIPHOS ENT.,B ,Q,105.25,105.25,104.00,104.00,104.00,105.85,10,484,50679.00,
500439,VARD HOLDNG ,B ,Q,2169.00,2170.00,2129.00,2129.00,2129.00,2121.00,3,21,45519.00,
500440,HINDALCO    ,A ,Q,211.00,213.00,209.70,211.45,211.45,211.40,1715,170832,36051765.00,
500444,WEST COAS PA,B ,Q,274.40,274.40,267.40,271.45,271.45,273.60,424,17172,4654306.00,
500449,HIND.ORG.CHM,B ,Q,24.55,25.35,24.05,24.45,24.50,23.85,354,60689,1497345.00,
500456,PAS.ACRYLON ,X ,Q,18.60,19.00,18.35,18.50,18.50,18.85,71,23537,436956.00,
500459,PROCTER &GAM,A ,Q,10750.00,10750.00,10660.15,10676.00,10700.00,10729.55,69,113,1209080.00,
500460,MUKAND LTD. ,B ,Q,54.30,55.95,54.25,55.70,55.70,54.10,37,3385,186018.00,
500463,AGCNET      ,B ,Q,112.50,117.00,112.00,115.50,117.00,119.00,29,1529,174092.00,
500464,UCAL FUEL   ,B ,Q,169.45,169.45,165.50,165.65,168.95,167.55,45,2487,416801.00,
500467,HARR.MALAYAL,B ,Q,71.00,71.65,70.10,70.45,70.10,70.90,83,2567,182198.00,
500469,FEDERAL BANK,A ,Q,97.90,98.15,95.95,96.45,96.15,97.70,1151,421645,40850178.00,
500470,TATA STEEL  ,A ,Q,541.60,546.40,534.80,537.15,537.15,544.20,4694,356694,192412714.00,
500472,SKF INDIA   ,A ,Q,2120.00,2164.50,2105.30,2125.60,2105.30,2122.30,196,1150,2472814.00,
500477,ASHOK LEYL. ,A ,Q,91.60,94.65,91.40,94.30,94.30,91.35,8510,2842570,265163215.00,
500480,CUMMINS (I) ,A ,Q,745.25,749.95,735.55,744.80,749.90,744.50,545,13771,10212077.00,
500483,TATA COMM   ,A ,Q,575.25,591.00,575.25,587.50,587.50,580.40,414,16715,9801429.00,
500488,ABBOTT (I)  ,A ,Q,7315.00,7391.95,7315.00,7379.75,7375.00,7341.00,24,45,331475.00,
500490,BAJ HOLD INV,A ,Q,3329.10,3332.55,3291.05,3308.35,3325.00,3306.95,216,532,1762042.00,
500493,BHARAT FORGE,A ,Q,499.40,503.05,495.00,497.20,496.00,499.30,864,35701,17800319.00,
500495,ESCORTS LTD.,A ,Q,772.00,784.00,762.15,770.20,770.20,776.30,1450,61455,47361608.00,
500500,HIND.MOTORS ,T ,Q,7.26,7.63,7.26,7.41,7.40,7.45,29,7946,58935.00,
500510,LARSEN & TOU,A ,Q,1371.50,1386.50,1371.50,1377.80,1377.80,1369.85,3033,67372,92985722.00,
500520,MAH & MAH   ,A ,Q,666.15,679.20,666.15,672.15,672.15,668.20,3203,145572,98051598.00,
500530,BOSCH LTD   ,A ,Q,17800.10,17954.00,17758.35,17817.90,17940.00,17840.05,221,503,8971185.00,
500540,PREMIER LTD ,T ,Q,6.50,6.50,6.50,6.50,6.50,6.84,4,10001,65006.00,
500547,BHARAT PET. ,A ,Q,357.90,363.80,357.40,361.10,361.10,357.15,1782,330636,119820885.00,
500550,SIEMENS LTD.,A ,Q,1172.95,1178.25,1161.20,1171.05,1170.10,1165.65,1210,53492,62694358.00,
500570,TATA MOTORS ,A ,Q,216.60,219.25,213.30,218.20,218.20,215.65,14509,2539043,550271113.00,
500575,VOLTAS LTD  ,A ,Q,612.35,619.00,609.35,616.80,616.80,609.55,936,55235,34043378.00,
500620,GREAT EASTE ,A ,Q,301.80,302.00,296.60,300.20,298.00,302.55,111,2449,734814.00,
500645,DEEPAK FERT.,A ,Q,135.95,140.40,135.90,137.55,137.55,134.60,1023,54486,7564423.00,
500650,EXCEL INDUST,B ,Q,1146.75,1152.10,1141.15,1147.65,1141.25,1153.80,50,400,458404.00,
500655,GARWARE POLY,X ,Q,216.00,217.00,212.50,213.00,213.00,216.00,57,4400,947586.00,
500660,GLAXOSMITH  ,A ,Q,1293.15,1300.00,1290.05,1296.10,1290.05,1294.55,71,754,977510.00,
500670,GUJ.NARMADA ,A ,Q,332.00,337.65,324.50,326.65,326.65,330.65,1402,70821,23437342.00,
500672,NOVARTIS    ,B ,Q,691.95,692.00,682.20,684.95,684.95,688.50,345,5661,3878976.00,
500674,SANOFI      ,A ,Q,5780.00,5838.75,5780.00,5818.35,5820.00,5786.95,53,81,471098.00,
500676,GLAXOSMITHKL,A ,Q,7142.00,7186.25,7115.15,7155.80,7145.60,7093.60,106,473,3383525.00,
500680,PFIZER LTD. ,A ,Q,3260.00,3265.00,3220.20,3237.70,3224.70,3248.70,128,399,1295363.00,
500690,GUJ.ST.FERT ,A ,Q,105.25,107.10,105.25,106.15,106.15,104.60,983,142889,15180161.00,
500696,HIND UNI LT ,A ,Q,1699.40,1715.00,1699.15,1707.50,1707.50,1691.75,4712,111427,190465924.00,
